Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce1|21|0,"[""{\n    \""square entries describe stronger, concrete advanced academic and career-technical offerings and measurable postsecondary outcomes than circle entries\"": \""Groups of reviews repeatedly list AP/IB/dual‑enrollment, CTE/vo‑tech pathways and named college/scholarship outcomes for square schools (e.g., dual enrollment, IB diplomas, students graduating with college credits), a distinct programmatic/offering pattern that is about curricular breadth and outcomes rather than safety, facilities, administration, or teacher variability.\"",\n    \""square entries report more frequent and severe student safety, violence, substance‑use, and gang incidents (and related assaults/sexual misconduct) than circle entries\"": \""Many square reviews describe explicit on‑campus threats—drugs/vaping/overdoses, daily fights, weapons, gang activity and sexual/assault incidents—an overt safety/behavior cluster that is substantively different from program offerings, facilities logistics, administrative governance, or variation in classroom teaching.\"",\n    \""square entries report more administrative, counseling, and district governance failures (or contested leadership/favoritism) affecting students than circle entries\"": \""Square reviews contain recurring reports of favoritism/nepotism, secrecy/cover‑ups, lost records, opaque policy enforcement, grade manipulation and dysfunctional district/principal behavior—concrete governance and responsiveness failures separate from teacher classroom quality, physical plant problems, program availability, or student safety incidents.\"",\n    \""square entries report more facility, capacity, sanitation, and resource/funding shortfalls and operational constraints (overcrowding, dilapidated buildings, unsanitary cafeterias/bathrooms, lack of books/computers, traffic/entry congestion) than circle entries\"": \""Numerous square entries document overcrowded classes/buses, broken bathrooms, poor food, aging infrastructure and contested capital spending—an operational/facilities/resource cluster distinct from academic program breadth, personnel behavior, or safety incidents.\"",\n    \""square entries show greater variability and extremes in teacher/instructional quality and student support (from highly committed/inspirational teachers to abusive, neglectful, or discriminatory staff) than circle entries\"": \""Square reviews routinely describe stark contrasts—excellent, deeply supportive teachers and award‑winning coaches alongside abusive, favoritist, or incompetent staff and inconsistent classroom management—an instructional/personnel‑quality polarity that is about teacher practice and support rather than governance processes, facilities, safety events, or program availability.\""\n}""]",,19.65707802772522,27285,1152,1671,,[],['resp_02f359a50cf76717006a74d6c896b88192904a7b36dd5b1cbd'],True
vote|reduce1|23|5,"[""{\n    \""square entries show greater variability in teacher/paraprofessional performance and staffing patterns—both stronger individualized mentorship and more harmful/unstable staffing—than circle entries\"": \""Captures the recurring pattern in square reviews of wide swings in instructional quality, long‑tenured champions, emergency substitutes, and turnover—distinct from administrative failures (which is about leadership/response), facilities (physical/logistical issues), program breadth (what's offered), and safety (student conduct incidents).\"",\n    \""Square entries report more frequent and severe student-safety and conduct incidents (drugs, fights, weapons, sexual assault, self-harm) and show weaker staff responses than circle entries\"": \""Groups all concrete safety/discipline harms and linked failures of adult intervention described in square reviews, and is kept separate from teacher‑quality variability (who teaches), administrative misconduct (governance/cover‑up), facilities/logistics, and programmatic offerings (curriculum/extracurricular breadth).\"",\n    \""square entries describe broader, formal academic and extracurricular program inventories (AP/honors, magnet/dual‑enrollment, vocational, arts, many clubs and sports) than circle entries\"": \""Aggregates the many concrete programmatic offerings, advanced-course and dual‑credit claims, and named academies in square reviews—a factual catalog of what is provided that is intentionally distinct from how well those programs are run (instruction), from safety issues, from facilities constraints, or from leadership behavior.\"",\n    \""square entries report more facility, capacity and operational resource shortfalls and logistical breakdowns than circle entries\"": \""Consolidates physical‑plant, overcrowding, sanitation, transportation, scheduling, fee/records, and other operational failures described in square reviews; this is expressly about infrastructure and logistics rather than staffing quality, governance/accountability, safety incidents, or program inventories.\"",\n    \""square entries report more administrative unresponsiveness, procedural mishandling, and leadership/accountability failures than circle entries\"": \""Covers patterns of non‑responsive principals/boards, favoritism, withholding records, punitive policies, and governance corruption in square reviews—separated from classroom‑level teacher variability, student safety events, facility problems, and the mere presence of programs because it focuses on leadership, process, and accountability.\""\n}""]",,22.786290884017944,24471,1280,1782,,[],['resp_0530f3d37d0ed600006a74d6c885cc819283e34305f67912b5'],True
vote|reduce1|7|5,"[""{\n    \""square entries report more frequent and severe student safety, bullying, substance‑use, and violent incidents than circle entries\"": \""This cluster groups the many raw terms documenting fights, assaults, drugs, gang activity, sexual incidents, suicide/self‑harm, and ineffective or absent adult response — a discrete safety/behavior climate topic that is distinct from facility problems, academic offerings, or administrative favoritism.\"",\n    \""square entries document broader, higher‑level advanced academic pathways and measurable college outcomes (AP/IB breadth, dual‑enrollment, college credits, elite admissions) more than circle entries\"": \""This bucket captures the repeated, concrete evidence that square schools host named AP/IB/dual‑enrollment/CTE/magnet tracks and report quantifiable college/scholarship placement — a programmatic/outcomes theme separate from safety, facilities, or governance problems.\"",\n    \""square entries report more concrete facility, capacity, and operational/logistical problems and specifics than circle entries\"": \""This grouping collects the concrete operational details (overcrowding, collapsing portables, pests, scheduling/blocking, cafeteria/transport/tech/Wi‑Fi issues and renovations) that affect daily life and are materially different from curricular offerings, safety incidents, or administrative fairness.\"",\n    \""Square entries report more administrative unfairness, arbitrary discipline, favoritism/nepotism, and operational failures than circle entries\"": \""This bucket groups systemic complaints about biased enforcement, micromanagement, punitive dress/grade/athletics favoritism and corrupt/nepotistic practices — distinct from procedural breakdowns (records/IEP handling) or concrete facility/resource shortages.\"",\n    \""square entries report more concrete administrative and operational breakdowns that impede student progress and family access (records/scheduling/transcript failures, special‑education denials, counseling and parent‑notification breakdowns) than circle entries\"": \""This theme covers procedural and compliance failures (lost records, scheduling/transcript errors, counselor overload, IEP noncompliance and parent‑notification lapses) focused on barriers to student services, which is separable from the broader notion of unfair/punitive administration or from physical facility problems.\""\n}""]",,23.469658136367798,24806,1472,1967,,[],['resp_01def7daa3f899b1006a74d6c85874819e98754942972c441c'],True
vote|reduce1|18|1,"[""{\n    \""Square entries describe more concrete, named advanced-academic pathways and measurable postsecondary outcomes (AP/IB/honors/dual‑enrollment, high test-proficiency, college matriculation) than Circle entries\"": \""Groups together the many square items that list named programs, AP/IB/dual‑enrollment, National Merit/scholarship counts and college matriculation evidence—this is about program breadth and measurable academic outcomes and is distinct from complaints about facilities, safety, instruction quality, or governance (the other buckets).\"",\n    \""square entries report more frequent student-safety problems (bullying, daily fights, substance abuse) and inconsistent or punitive discipline practices than circle entries\"": \""Captures the extensive square claims about violence, bullying, drug use, weapons incidents and either lax or overly punitive discipline; this bucket is explicitly about safety/behavior incidents and responses, not about facilities, academic offerings, instructional quality, or governance malpractice.\"",\n    \""square entries report more facility, capacity, and operational resource problems (overcrowding, pests, food, Wi‑Fi, transportation, materials) than circle entries\"": \""Aggregates the concrete, physical and logistical problems square reviewers cite (portables, overcrowded classes, pests, filthy bathrooms, food and tech shortages), which are operational/infrastructure issues separate from safety incidents, governance/favoritism, instructional variability, or academic program content.\"",\n    \""square entries report more administrative favoritism, politicized governance, punitive/exclusionary policies, and resource misallocation than circle entries\"": \""Groups the governance-level patterns in square reviews—nepotism, favoritism toward athletes/affluent families, politicized discipline, contested capital spending and budget misallocation—which concern leadership and policy choices rather than day‑to‑day facilities, safety events, classroom instruction, or program offerings.\"",\n    \""square entries report more inconsistent or failing student support and instructional delivery (teacher variability, counselor/IEP failures, turnover, grading/organization problems, and mental‑health neglect) than circle entries\"": \""Collects the square evidence about uneven teaching quality, grading/record errors, IEP/counseling breakdowns and mental‑health/support service failures—this bucket targets instructional and student‑support delivery problems and is kept distinct from governance, infrastructure, safety, and program availability.\""\n}""]",,26.325095891952515,27201,1664,2181,,[],['resp_021fc3ae976fb78e006a74d6c896f0819ca92ce17af738d541'],True
vote|reduce1|12|1,"[""{\n    \""square entries report stronger advanced academic programs and measurable postsecondary/career outcomes (AP/IB/STEAM, national scholarships, college matriculation, vocational credentials) than circle entries\"": \""This clusters all concrete claims about formal academic pathways, AP/IB/dual‑enrollment, STEM/CTE tracks and documented college placements (program availability and measurable outcomes) and is distinct from operational, safety, teacher‑quality or extracurricular themes because it only captures programmatic academic offerings and their postsecondary results.\"",\n    \""square entries report a wider, higher‑profile set of extracurriculars and arts/music/drama successes and visible school spirit/community turnout than circle entries\"": \""This groups reports about breadth, prestige and participation in non‑academic programs (band, choir, theater, JROTC, boosters, high participation/spirits) and is exclusive from the facilities, safety, admin or academic‑program buckets because it focuses on program scope, competitive success and community engagement in extracurricular life.\"",\n    \""square entries report more material/infrastructure and operational resource issues (overcrowding, outdated technology, cafeteria/transportation problems, facility or HVAC failures) than circle entries\"": \""This captures concrete, day‑to‑day facility, capacity and logistics problems (and also named capital projects or device provisions) and is kept separate from governance/favoritism, safety/incidents, teacher quality, or program‑offering buckets because it concerns physical resources and operational logistics only.\"",\n    \""Square entries report more frequent and severe student-safety and conduct incidents (drugs, fights, weapons, sexual assault, self-harm) and show weaker staff responses than circle entries\"": \""This groups reports tied specifically to student safety, bullying, substance use, violent incidents and the school’s immediate handling of those crises, and is mutually exclusive from administrative/governance complaints or program descriptions because it centers on safety incidents and victim/response outcomes rather than policy, facilities, or program breadth.\"",\n    \""square entries report more administrative dysfunction, politicized governance, favoritism, inconsistent or punitive discipline, and failure-to-resolve complaints than circle entries\"": \""This groups governance and personnel problems—nepotism, favoritism, hostile discipline, unresponsiveness, recordkeeping and board/district mismanagement—and is separate from safety, facilities, extracurriculars or academic‑program buckets because it concerns decision‑making, accountability and policy implementation rather than physical conditions, programs, or student incident frequencies.\""\n}""]",,27.06034779548645,27532,1792,2351,,[],['resp_02f6dc67cef3eed9006a74d6c8872081a0b030f2d6dba26f72'],True
vote|reduce1|17|3,"[""{\n    \""Square entries report stronger, more concrete advanced‑academic programs and measurable college‑preparation outcomes than Circle entries\"": \""This bucket captures the many square reviews listing AP/IB/dual‑enrollment/magnet/CTE offerings, National Merit/scholarship outcomes, and named college placements (distinct program availability and measurable postsecondary results) and is kept separate from instructional quality, safety, admin, and facilities buckets because it describes concrete program offerings and outcomes rather than staffing, governance, or day‑to‑day operations.\"",\n    \""square entries report more frequent and more severe student-safety and misconduct problems (bullying, drugs, assaults, weapons) and weaker interventions than circle entries\"": \""This groups all raw terms about fights, gang/weapon/drug incidents, sexualized misconduct, chronic bullying and administrators/staff failing to protect or ineffectively disciplining — a clear safety/climate cluster that is different from programmatic strength, facility logistics, governance failures, or special‑education/counseling shortcomings.\"",\n    \""square entries report more administrative and governance failures, favoritism, transactional behavior, and operational breakdowns than circle entries\"": \""This bucket groups allegations of nepotistic hiring, board secrecy, grade manipulation, retaliation against parents, arbitrary discipline and politicized leadership — governance and decision‑making dysfunction that is conceptually distinct from student safety incidents, facility constraints, or availability of academic programs.\"",\n    \""square entries contain more concrete operational, facility and scheduling/resource claims (overcrowding or underpopulation, renovated vs dilapidated buildings, cafeteria/bathroom problems, block/modified schedules, parent portals, transportation cuts, distance-learning failures) than circle entries\"": \""This groups the tangible, day‑to‑day logistics and physical‑plant/resource issues (class sizes, renovations, pests, food quality, buses, scheduling, tech/parent portals) that affect service delivery and campus operations and is kept separate from governance, student‑safety, academic program, and special‑needs/counseling themes.\"",\n    \""square entries report more failures or insufficiencies in counseling, Special Education (IEP/504) implementation, and targeted student support services than circle entries\"": \""This bucket aggregates the specific evidence about broken or inconsistent SpEd implementation, ignored IEPs/504s, poor counselor access or dismissive guidance, and uneven tutoring/transition supports — a discrete cluster about individualized student supports distinct from facility/resource problems, program breadth, governance, or general safety incidents.\""\n}""]",,27.0809268951416,27315,1600,2139,,[],['resp_041afa8b6d050d2d006a74d6c8a708819ead10bec35d270fec'],True
vote|reduce1|1|2,"[""{\n  \""square entries report more pervasive student safety and behavioral crises (bullying, fights, drugs, gang activity, severe incidents) and ineffective or inconsistent school responses than circle entries\"": \""This bucket groups every raw term about violence, bullying, gang/drug activity, hate vandalism, sexual assault/threats, repeated fights, police/lockdown incidents and clear failure to remediate — it is distinct from administrative‑governance failures (which explain why problems persist) and from facilities/resource issues (which are about physical conditions), so it does not overlap with the other selected buckets.\"",\n  \""square entries report more advanced/rigorous academic offerings, college‑prep and CTE pathways (AP, IB, dual enrollment, magnet) than circle entries\"": \""This bucket captures the many concrete programmatic claims (AP/IB/honors, dual‑enrollment/college credit, CTE/vocational pathways, documented alumni/college outcomes) and is focused on curricular/program breadth and measurable postsecondary results, which is a different fact than teacher quality, safety, facilities, or governance.\"",\n  \""square entries report more concrete facility, scheduling, technology, and extracurricular/infrastructure details (both upgrades and operational constraints like overcrowding, fees, and transportation problems) than circle entries\"": \""This groups raw terms about physical plant and day‑to‑day operational logistics (cleanliness, deferred maintenance, new construction, overcrowding, no AC/water, bussing, required fees, laptops, elective cuts) and is kept separate from governance (decision‑making) and from safety, instructional quality, or programmatic breadth.\"",\n  \""square entries report more administrative dysfunction, politicization, favoritism, turnover, and failure-to-act (board/district/leadership problems) than circle entries\"": \""This bucket collects governance and personnel‑level failures (secretive boards, nepotism, favoritism toward athletes/prominent families, cover‑ups, punitive parent treatment, policy opacity and hostile leadership) and is deliberately exclusive of teacher‑level variability, student safety incidents, facilities problems, or curricular offerings.\"",\n  \""square entries show greater variability and extremes in teacher/instructional quality and student support (from highly committed/inspirational teachers to abusive, neglectful, or discriminatory staff) than circle entries\"": \""This groups items about classroom/instructional practice, grading and management inconsistencies, counseling and special‑education support successes and failures, staff professionalism/abuse, and turnover/substitute instability — a staffing/instructional axis that is conceptually distinct from governance, safety incidents, facilities, and program availability.\""\n}""]",,27.215955018997192,26970,1792,2380,,[],['resp_02043206bcba8282006a74d6c861e0819cb8dc0b3213c026f5'],True
vote|reduce1|4|2,"[""{\n    \""square entries report more frequent and severe student safety, bullying, substance‑use, physical‑violence, and sexual‑misconduct incidents and failures to address them than circle entries\"": \""Groups all raw terms describing concrete on‑campus harms (fights, assaults, drug deaths, vaping, sexual coercion, gang activity, suicidality, pervasive bullying) and the school's failure to protect students — distinct from administrative/governance themes because it catalogs the incidents and harms themselves rather than policy or leadership causes.\"",\n    \""square entries report more administrative and policy dysfunction (poor communication, favoritism/nepotism, punitive/ad‑hoc policies, and cover-ups) than circle entries\"": \""Captures reviewer claims about governance, opaque/retaliatory handling of complaints, nepotism/favoritism, record‑keeping failures and cover‑ups — focused on leadership and policy/process breakdowns, not the front‑line safety incidents or classroom instructional quality that other buckets cover.\"",\n    \""Square entries document broader formal advanced academic and extracurricular program offerings and stronger measurable college/outcome evidence than circle entries\"": \""Groups the many concrete reports of AP/IB/magnet/dual‑enrollment/STEM/CTE pathways, named program partnerships, National Merit/college placement metrics and award‑winning teams/arts that indicate program breadth and measurable outcomes — a supply/achievement footprint clearly separable from facility or staffing failures.\"",\n    \""square entries report more pronounced operational, facility, scheduling and resource-allocation problems (overcrowding, building condition, communication failures, fundraising/tuition pressures) than circle entries\"": \""Collects the tangible infrastructure, logistics and resource complaints (overcrowding, pests, mold, outdated textbooks, lunch quality, parking fees, block scheduling, capital projects vs maintenance tradeoffs) — concrete material/operational problems that are distinct from program availability, incident prevalence, or teacher competence.\"",\n    \""square entries show greater within‑school variability and inconsistency in teacher quality, classroom management, and responsiveness than circle entries\"": \""Groups evidence of polarized or uneven instructional experience (highly effective AP teachers vs many disengaged or absent teachers, high turnover, subs, favoritism in classrooms, inconsistent homework/grading) — a classroom‑level variability theme that is different from governance breakdowns, student‑safety incidents, facility shortfalls, or the formal program inventory.\""\n}""]",,27.938061714172363,26916,1472,1969,,[],['resp_0d2d5c5e30636fe4006a74d6c800d4819f8bbc2830c87e5a03'],True
vote|reduce1|18|3,"[""{\n    \""square entries report more frequent, severe, and documented student‑safety and behavioral problems and failures to address them (bullying, fights, drugs, racist incidents, sexual assault, suicides) than circle entries\"": \""This groups all concrete reports of on‑campus danger and harmful peer behavior plus the frequent claim that staff/administration fail to remediate them; it is distinct from facility/logistics (physical plant and transport) and from programmatic or instructional critiques because it concerns student conduct and safety outcomes rather than resources, extracurricular breadth, or curriculum.\"",\n    \""square entries report more formal advanced academic programs and measurable college‑preparatory outcomes (AP/IB/honors/dual‑enrollment, test scores, graduation rates, alumni placement) than circle entries\"": \""This buckets all concrete evidence about availability of advanced tracks and quantifiable postsecondary outcomes (AP counts, scholarships, college admits), separating program breadth and measurable academic results from teacher quality/counseling problems or extracurricular/athletics claims.\"",\n    \""square entries report more extensive extracurricular, arts, and competitive athletics programs and visible program successes than circle entries\"": \""This groups claims about breadth and prominence of non‑core offerings (marching band, state championships, JROTC, internships, large club ecosystems) and their public achievements, which are programmatic and cultural assets distinct from classroom instruction, administrative behavior, or facility/logistics issues.\"",\n    \""square entries report more pronounced personnel and governance dysfunction (teacher favoritism/absenteeism, grading integrity problems, counseling/IEP failures, and unstable or politicized administration) than circle entries\"": \""This captures staff- and governance‑level failings — favoritism/nepotism, grade manipulation, counseling/IEP breakdowns, punitive or politicized discipline — and is kept separate from facility/operational failures and from student safety incidents (which are outcomes often tied to but distinct from governance misconduct).\"",\n    \""square entries report more operational and facility problems (overcrowding, severe maintenance and cleanliness failures, poor food/bus/parking logistics, missing materials) than circle entries\"": \""This groups concrete, day‑to‑day logistical and physical‑plant deficiencies (transportation, overcrowding, sanitation, HVAC/parking/renovation status) and is mutually exclusive from the other buckets because it concerns infrastructure and operations rather than student behavior, program offerings, or staff/governance conduct.\""\n}""]",,27.9373779296875,27084,1856,2412,,[],['resp_0dc33575a934fe4d006a74d6c89a00819eb126f4cbb2df2a2f'],True
vote|reduce1|5|5,"[""{\n    \""square entries report more frequent and severe student-safety incidents and ineffective incident response than circle entries\"": \""This cluster isolates concrete safety and conduct problems (fights, assaults, drugs, bomb threats, expulsions, police involvement, pervasive bullying) and failures to protect or remediate — a discrete issue about on‑site student harm and incident handling that is about safety, not instruction, facilities, governance, or program offerings.\"",\n    \""square entries report more variable and often poor classroom-level instruction, teacher misconduct, counseling failures, and unequal support for struggling students than circle entries\"": \""This bucket groups school-internal instructional and student‑support practices — teacher quality/engagement, homework/feedback, counseling/IEP responsiveness, and differential classroom accommodations — which are pedagogical/service delivery problems distinct from campus safety, building capacity, district governance, or program breadth.\"",\n    \""square entries report more problematic leadership behavior, poor parent-facing communication, favoritism/nepotism, suppression of complaints, and contested resource allocation than circle entries\"": \""This theme captures governance and staff‑behavior dysfunction (principal/superintendent unresponsiveness, cover‑ups, favoritism, alleged corruption, punitive or opaque policies) that concerns decision‑making and accountability rather than physical facilities, curricular offerings, or classroom practices.\"",\n    \""square entries report more pronounced operational, facility, scheduling and resource-allocation problems (overcrowding, building condition, communication failures, fundraising/tuition pressures) than circle entries\"": \""This bucket groups tangible logistics and infrastructure failures — overcrowding, modular classrooms, mold/asbestos/pest issues, broken HVAC/bathrooms, scheduling and transportation breakdowns, and contested capital priorities — which are physical/capacity/resource problems separate from pedagogy, safety incidents, governance choices, or programmatic richness.\"",\n    \""square entries report stronger and broader academic & extracurricular program offerings and capital/technology resources (AP/IB/dual enrollment, vocational tracks, arts, facility investments) than circle entries\"": \""This category captures concrete programmatic strengths and documented outcomes — abundant AP/IB/dual‑enrollment/CTE/music/band/athletics, scholarships/college matriculation, technology rollouts and award‑winning teams — a definable set of curricular/extracurricular offerings and measurable achievements distinct from safety, operational condition, instructional delivery quality, or administrative accountability.\""\n}""]",,28.240739107131958,24942,1728,2254,,[],['resp_091f78d2642a0d10006a74d6c7fee481a2a2c7911df2aad2b2'],True
