label,raw_diff_pct,diff_pct,ci_pct
"document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors)",-9.603712959657265,-1.0453190559679415,3.5237763152123613
"report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them",-8.52575488454707,-1.3559642958202445,3.1113716564785316
"report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes",-15.278270116979794,-9.837572146924838,3.262064112550122
"report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs)",-10.848890454385348,-4.205989385906883,2.6402873203461703
"report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs)",-10.018975332068312,-3.454378680582404,3.5362395130213784
"show greater variability and polarization in teacher/staff performance, morale, and student support — including both high‑contact committed teachers and widespread apathy, counselor failures, special‑education mismanagement, turnover, and low morale — compared with circle entries",-17.566099239406014,-10.297240741958824,3.427543982402277
"describe more administrative and governance failures (turnover, mismanagement, favoritism, policy experiments, scheduling/operational errors, unresponsiveness)",-9.162773984908371,-0.25062714341688164,3.5666254587043427
"report more facility, capacity, transportation, and resource‑prioritization problems (overcrowding, poor layout, cafeteria/bathroom failures, and athletic funding skew)",-8.039843472073995,-2.9577610934905465,2.5245105793714098
"report more facility, capacity, sanitation, and resource/funding shortfalls and operational constraints (overcrowding, dilapidated buildings, unsanitary cafeterias/bathrooms, lack of books/computers, traffic/entry congestion)",-7.697790449037776,-2.9938703135592353,2.4653187891320596
"show greater variability and extremes in teacher/instructional quality and student support (from highly committed/inspirational teachers to abusive, neglectful, or discriminatory staff)",-17.043847241867045,-9.868671327301687,3.4980398542646727
