label,actual_true,inverted_true,total,actual_pct,inverted_pct,net_pct
"circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries",914.0,1183.0,2801,32.63120314173509,42.23491610139236,-9.603712959657265
"circle entries report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them than square entries",858.0,1098.0,2815,30.47957371225577,39.00532859680284,-8.52575488454707
"circle entries report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes than square entries",810.0,1241.0,2821,28.71322226160936,43.99149237858915,-15.278270116979794
"circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries",654.0,962.0,2839,23.03628038041564,33.88517083480099,-10.848890454385346
"circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries",891.0,1155.0,2635,33.81404174573055,43.833017077798864,-10.018975332068312
"square entries show greater variability and polarization in teacher/staff performance, morale, and student support — including both high‑contact committed teachers and widespread apathy, counselor failures, special‑education mismanagement, turnover, and low morale — compared with circle entries",1336.0,851.0,2761,48.38826512133285,30.82216588192684,17.56609923940601
"square entries describe more administrative and governance failures (turnover, mismanagement, favoritism, policy experiments, scheduling/operational errors, unresponsiveness) than circle entries",1267.0,1012.0,2783,45.52641034854474,36.36363636363637,9.162773984908373
"square entries report more facility, capacity, transportation, and resource‑prioritization problems (overcrowding, poor layout, cafeteria/bathroom failures, and athletic funding skew) than circle entries",791.0,565.0,2811,28.139452152258983,20.09960868018499,8.039843472073995
"square entries report more facility, capacity, sanitation, and resource/funding shortfalls and operational constraints (overcrowding, dilapidated buildings, unsanitary cafeterias/bathrooms, lack of books/computers, traffic/entry congestion) than circle entries",728.0,512.0,2806,25.94440484675695,18.246614397719174,7.697790449037776
"square entries show greater variability and extremes in teacher/instructional quality and student support (from highly committed/inspirational teachers to abusive, neglectful, or discriminatory staff) than circle entries",1351.0,869.0,2828,47.772277227722775,30.72842998585573,17.043847241867045
