universal-id,nces_id,n_reviews,n_words,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39
401463,040401000322,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402650,,11,638,0.0,0.0,0.0,0.0,0.0,0.0,0.034692591627803325,0.0,0.19075508961465848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08574436044836814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606014,062825004368,16,814,0.0,0.016405858930182083,0.0,0.0,0.011190067618755366,0.0,0.0,0.0,0.010169750007684804,0.0,0.053047018943962465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014097115390266292,0.0,0.0,0.0,0.0,0.0,0.012853128641738636,0.0,0.0,0.0,0.06865623313269519,0.0
2601258,,8,373,0.0,0.0,0.0,0.0,0.1258340077301282,0.0,0.0,0.0,0.0,0.09283015953870874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10413818112672851,0.0,0.0,0.0,0.0,0.08401027183979687,0.0,0.0,0.0,0.0,0.0,0.142744699245533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13288582096505702,0.0,0.0
606567,062223002658,5,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19092986463876171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08544731429922583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604671,,7,252,0.0,0.0,0.0,0.0,0.0,0.0,0.09860133459613621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800240,,6,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831638821767499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14254528975181405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4805881,,25,1947,0.0,0.022477102863027173,0.0,0.0,0.040341949927664406,0.019301604791322126,0.0187409418220515,0.0,0.01115258142474626,0.0,0.0,0.02217220447616353,0.0,0.0,0.04002138614465101,0.015189787490956622,0.0,0.04155994726882218,0.0,0.0,0.0,0.016484095662141197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022091959675936943,0.0,0.0,0.014457511683715781,0.23121105882550078,0.0,0.0,0.0
1100127,,14,1194,0.0,0.06337003647725536,0.0,0.0,0.027000999206950066,0.0,0.0,0.0,0.0,0.04357363185651649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629883615797444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272211419873607,0.0
4000198,,8,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13176567735841108,0.0,0.0,0.0,0.0,0.0,0.0,0.060675485621279605,0.027327481025630228,0.0,0.0,0.0,0.0,0.06584558934241261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605479,,16,1324,0.0,0.0,0.0,0.0,0.009272369175004368,0.0,0.025289012443625376,0.0,0.017219202383316787,0.022383512855167306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016534521994963733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22169268307637222,0.0,0.0,0.0,0.0,0.0,0.044705102932275115,0.0
1202421,,12,744,0.0,0.0,0.0,0.0,0.03186423021959162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02038364080905274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04256344754534642,0.024285024281598018,0.0,0.0,0.06503514545207811,0.0,0.0,0.0,0.0,0.0,0.0
601777,,13,1131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21767596896942812,0.0,0.0,0.0,0.0,0.007784315018336497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600601,,13,893,0.0,0.03474009347269041,0.0,0.0,0.12772444992962817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10741679822037052,0.0,0.0,0.025673347066376574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202566,,8,534,0.0,0.10275275445604684,0.0,0.0,0.0,0.09872682688872084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04478782742790401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05104919516902201,0.057857147772364725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608251,,12,879,0.0,0.0,0.0,0.0,0.0,0.0,0.010063368534470747,0.015357010743766697,0.0,0.0,0.0,0.0,0.010157698024019666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17157426747166604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19213026975677658,0.0,0.0,0.0,0.0,0.0,0.010355005477958952,0.0,0.0
3000917,,2,100,0.0,0.0,0.0,0.0,0.4796636450887825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4700159,,14,1022,0.0,0.0,0.0,0.0,0.03716327601731373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039155285380382134,0.0,0.0,0.0,0.0873038037313817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300627,,6,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301288,130288001240,5,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3603245,,7,393,0.0,0.0,0.0,0.0,0.05144869720400673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07573902788743125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07419589260406215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602135,,7,382,0.0,0.0,0.0,0.0,0.16904995642066706,0.0,0.0,0.0,0.1299049095259165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08699960914733006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016370883190915193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606959,,18,1147,0.0,0.0,0.0,0.0,0.059852265653668,0.058146179864671035,0.0,0.04218295635702696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355889055005872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200412,,23,1088,0.0,0.021159112579161844,0.0,0.0,0.04681545261268485,0.007947215449324046,0.0,0.011155561364129683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980093713754697,0.0,0.02886653492049112,0.019820071177045522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602271,,10,543,0.0,0.0,0.0,0.0,0.06371216366219723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
