topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.8409,601814,5385466,17,This school is so great for kids. Very supportive staff that wants the best for our students.
0,2,0.8406,1201326,1712335,29,The Schools education is Amazing and the Teachers actually care about their Students. I have been impressed with the last 2 years that my child has attended this school.
0,3,0.8396,1800904,1040082,117,"This year (2010-2011) the administrators have really improved things. They have just gotten a new tardy system that has students hurrying to class, trying not to be late. The fight numbers have decrease significantly! There is a lot more security here now too. The only bad thing is some kids really don't want to be there, and this ruins the high school experience for several students. The teachers here are really friendly and cool. I think they are easy to get along with and like to have fun as well. The athletics have really taken a step foward. Overall I think this is a good school with some minor problems, but the improvements made were very successful!"
0,4,0.8391,4807246,1549918,50,We have been very happy with this school. The classes have been challenging as our daughter was used to making As without much effort in public school. The teachers here are caring and our daughter has made good friends. The school offers lots of opportunities to be involved for everyone.
0,5,0.8374,5300554,5481153,45,This school has been great! The teachers are fantastic! My son was being bullied and the school took it as a priority. They jumped right in and really made my son feel safe. The teachers also took extra time after school as well. Great work!
0,6,0.8368,1710764,3883032,31,This school has high expectations and at track record of helping kids get into great colleges and helping them be successful while there. The teachers care a lot about their students!
0,7,0.8358,1300237,2241789,28,My daughter is soaring with this school and the teachers are extremely helpful. I can't say enough nice things about this school. I'm very happy with my choice.
0,8,0.8348,3600930,1504147,144,"This school used o be good, but now it's not good. I went there my final years of high school, and it was a different school than the one I had heard about. There are some fabulous teachers that go out of their way to help students, but some teachers do nothing in their class but talk about sports or kick kids out for no reason. Guidance did nothing to help any students but their favored few. Bullying is rampant. Paperwork could be filled out if anything was done with it, and many teachers look the other way when people get bullied in front of them. There is not a lot for advanced students because most electives have been eliminated. If at all possible, do not send a kid there if you have a choice. It's not the GB it was in the day."
0,9,0.8336,2201923,1383348,81,"THIS IS THE MOST AWESOME SCHOOL EVER. THE TEACHERS ARE GREAT , THE COACHES ARE GREAT THEY MAKE SURE THE BOYS ARE GETTING THEIR LESSON. YOU CAN EXPECT TO SEE THE PRINCIPAL IN THE HALLWAYS AND AT GAMES MINGLING AND TALKING WITH PARENTS AND STUDENTS. MY SON GRADES HAS TREMENDOUSLY CHANGED SINCE CHANGING HIM HERE LAST SCHOOL YEAR. MY HUSBAND AND I HAD TO COMPROMISE TRAVELING OVER 30 MILES EVERYDAY TO AND FROM SO THEY CAN HAVE THE BEST PUBLIC EDUCATION."
0,10,0.8327,4701392,4969896,103,I have seen both of my children through this school. Both graduated at or near the top of their classes. Academically this is a good school. I feel my children were challenged. Athletics could use a better understanding of developing young talent earlier and recognizing potential. Seems like favorites were shown during both of my children's years of sports which served as a discouragement to many including parents. The new administration is great and I feel like the principal does try to influence and build character. You will read negatives and positives about any school. I would recommend and give two thumbs up.
1,1,0.8464,2902461,1034170,75,"What a wonderful experience our son had at this school! The students, the teachers and the administration really live and breath Christian values. The academics are top notch - the school makes it easy for the kids to explore and learn at their own ablility. We have appreciated the range of AP and honors classes offered. Our son now has several excellent university to choose from due to the education he received at St. Dominic's."
1,2,0.8383,2604024,2193326,78,"My son just graduated from Divine Child and all I can say is, ""it was an awesome experience."" Great teachers, great administration and a terrific place to establish a strong educational foundation for preparing for college. The school is just the right size with approximately 800+!student. The extra curricular activities are bountiful. As a catholic faith based institution, approximately 90% of the students are catholic.The students are certainly academically challenged!The school is worth the time, money and investment."
1,3,0.8324,3902916,1358569,182,"I have found Carroll High School to be the best choice for our son. Many know how far superior their academics are and how the Catholic faith is immersed into the student body through mass, numerous service projects, and daily life. The teachers are passionate about their commitment to their students. My son has found everyone to be friendly and supportive. I have seen Carroll work very hard at trying to make it a place where everyone has an opportunity to feel welcomed. Our experience has been that it is an extension of family and I'm very excited to have my daughter start there soon as well. It is worth every amount of investment and I am always inspired by the young men and women that achieve so many great things before they even graduate. I highly recommend parents and their children to visit the school and talk to many who attend so they can hear for themselves how great this place is. It truly elevates their minds and challenges them to accomplish great things in this world. You would be amazed."
1,4,0.8303,4501197,1445546,66,"The school was an answer to prayer. They have successfully taught my 2 children how to be good stewards of Christ. They both attended the school for elementary, middle and high school and have stated that they enjoyed attending the school. They are both now in college and doing very well in both social and academic settings I can't say enough good things about the school."
1,5,0.8293,616526,5658423,164,"This is one of those amazing Catholic schools that stands out far above the rest. The community is incredibly supportive, faith-filled, welcoming and comfortable for all. Catholic/Christian values are not compromised and are consistently weaved in among all that happens through out the day. The administration successfully handles all the challenges facing our teenagers today. The faculty is full of alumni, parents of alumni, and teachers who are vested in the success and happiness of their students. The academics are rigorous but there are a variety of paths to choose from. The sports programs are excellent but you don't have to play a sport here to feel a part of the enormous school spirit. Students and faculty are proud and thankful to be at Cathedral. This school is an uplifting place for your kids to be each day. My daughters are thriving here; socially and academically and athletically. We couldn't be happier about where they are spending the majority of their time each day."
1,6,0.8264,4702551,5148618,87,Exceptional school ! Starting with challenging academics then a great sense of community this school offers so much for every student. We h ave 2 boys there and they could not be more opposite yet they both are on an incredible individual path. I think the teachers and the staff offer a huge safety net both academically and mentoring them spiritually. The growth of the student is very well rounded. We are a catholic family and are bless to have this amazing Catholic school in our community.
