Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce3|18|0,"[""{\n    \""square entries report broader, higher-quality extracurricular, arts, and competitive athletics offerings and achievements than circle entries\"": \""Groups reviews that emphasize rich/award-winning extracurriculars, marching band, boosters, state titles and volunteering — this bucket is about program breadth and public achievement (not academic rigor, safety, admin behavior, or counseling), making it distinct from the other selected themes.\"",\n    \""square entries describe substantially more formal advanced/college-preparatory and specialized academic programming (AP, IB, STEM, dual‑enrollment, formal remediation) than circle entries\"": \""Captures entries documenting formal, named academic pathways, AP/IB/dual‑credit/STEM academies and measurable college outcomes — focused on curricular offerings and postsecondary preparation rather than extracurriculars, safety incidents, administrative conduct, or frontline support services.\"",\n    \""Square entries report more frequent and severe student-safety, substance-use, and harassment incidents (fights, assaults, drug use, sexual harassment, tolerated bullying) than circle entries\"": \""Collects concrete accounts of on-campus violence, drugs, bullying, weapons/threats and mishandled discipline — a safety/behavioral-crisis cluster that is operationally and substantively separate from administrative governance, program offerings, academic rigor, or counseling/service breakdowns.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Addresses overwhelmed/absent counselors, poor college advising, special-education noncompliance, and mental‑health gaps — focused on direct student supports and compliance failures rather than broader leadership/governance, facility problems, academics, or safety incidents.\"",\n    \""square entries report more administrative and operational dysfunction (leadership turnover, policy inconsistency, poor communication, staffing instability, resource misallocation) than circle entries\"": \""Encompasses governance issues (nepotism, unresponsiveness, politicized policies, budgeting and staffing decisions) that explain or coexist with other problems but are analytically distinct from frontline student-safety incidents, curricular breadth, extracurricular offerings, or counseling/service breakdowns.\""\n}""]",,24.93440008163452,22491,1536,1990,,[],['resp_0b69e1626803471f006a7257f69770819ea64506308cbd54fd'],True
vote|reduce3|3|0,"[""{\n    \""Square entries detail more concrete advanced academic and career programs and measurable outcomes (AP/IB, dual‑enrollment, CTE, test scores, college acceptances) than circle entries\"": \""Groups reviews that enumerate formal academic/career pathways and measurable postsecondary outcomes (AP, IB, dual‑enroll, CTE, college acceptances/credits) — distinct from facility, safety, governance, or within‑school variability issues because it is about programmatic curriculum and measurable academic outcomes rather than operations, behavior, or administrative conduct.\"",\n    \""square entries contain more detailed, concrete reports about facilities, operations, and on‑campus logistics (maintenance, cleanliness, overcrowding, transportation, cafeteria, security hardware) than circle entries\"": \""Captures the numerous facility/operational specifics (overcrowding, HVAC, pests, renovation bonds, cafeterias, cameras, scheduling/registration failures) and is mutually exclusive because it focuses strictly on physical/infrastructure and logistical conditions rather than safety incidents, governance, or academic program content.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Groups the many concrete accounts of violent or hazardous student behavior, substance use, targeted harassment, and emergency incidents — separate from facility descriptions, academic-program claims, or administrative governance which are about systems and policies rather than incident-level student safety and social climate.\"",\n    \""square entries report more administrative unresponsiveness, favoritism, inequity, mishandled complaints, and district/board dysfunction than circle entries\"": \""Collects allegations of governance and personnel dysfunction (nepotism, cover‑ups, blacklisting/retaliation, inequitable resource allocation, board opacity and policy abuse) and is distinct because it concerns who runs and governs the school and how they behave rather than physical plant, student incidents, or curricular offerings.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Encompasses the pattern of internally contradictory reports — simultaneous reports of excellent supports and systemic neglect, variable teacher effectiveness, uneven IEP/counseling implementation, and polarized outcomes — and is exclusive because it describes variability and inconsistent implementation across the school rather than a single dimension like facilities, safety, governance, or academic breadth.\""\n}""]",,25.52510714530945,22100,1408,1939,,[],['resp_073e9bc492d82a38006a7257f65380819ea1d3aba264f0006a'],True
vote|reduce3|11|0,"[""{\n    \""square entries describe more inconsistent or inadequate student support services (special education/IEP/504, counseling, mental‑health, and college advising) than circle entries\"": \""Groups many reviews that report failures or variability in counseling, IEP/504 compliance, mental‑health screening, graduation/counseling supports and college advising into a single student‑support bucket; this is distinct from facility, safety, governance or academic‑program claims because it focuses on individualized, targeted supports rather than infrastructure, discipline, leadership, or program breadth.\"",\n    \""Square entries report substantially stronger and more numerous advanced academic, AP/IB, dual‑enrollment and career‑technical pathways and measurable college outcomes than circle entries\"": \""Captures the repeated, concrete programmatic claims (IB/AP/dual‑credit/magnet/CTE offerings and college placements/scholarships) that document formal academic pathways and outcomes; it is mutually exclusive from the student‑support bucket because it addresses institutional course/program availability and measurable postsecondary results rather than counseling or special‑needs implementation.\"",\n    \""square entries contain more concrete facility, operational and infrastructure descriptions (both deficiencies and capital investments) than circle entries\"": \""Groups reports about the physical plant, maintenance, transportation, cafeteria/food, device rollouts, overcrowding and capital projects into an operations/facilities bucket; this separates logistics and material conditions from safety incidents, governance failings, or academic-program claims.\"",\n    \""Square entries report more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""Aggregates accounts of leadership/board/district mismanagement, favoritism, cover‑ups, inconsistent policy enforcement and staffing/financial decisions; this governance bucket is distinct from safety (student incidents), facilities (physical problems), academic programming (AP/IB/CTE), and individual student supports (counseling/IEP), because it centers on decision‑making and institutional accountability.\"",\n    \""square entries report more frequent and severe student safety and behavior incidents (bullying, fights, drugs, weapons) than circle entries\"": \""Groups the many concrete allegations of bullying, fights, substance use, gang/weapon threats, and self‑harm into a student‑safety/social‑climate bucket; it is mutually exclusive from governance, facility, programmatic, and individualized support buckets because it concerns student conduct and threats to physical/psychological safety rather than resources, leadership, or curricular offerings.\""\n}""]",,27.867774963378906,22272,1664,2208,,[],['resp_06ffb3beed2e9a96006a7257f66c208192b4fb846773da6048'],True
vote|reduce3|4|0,"[""{\n    \""square entries contain more concrete facility, operational and infrastructure descriptions (both deficiencies and capital investments) than circle entries\"": \""This groups all concrete, on‑site details (renovations, overcrowding, parking, cafeteria/food, HVAC/pests, device programs, scheduling/registration logistics) that reviewers attribute to the building/operations — distinct from behavior/discipline, program quality, governance, or individual supports which are covered by other buckets.\"",\n    \""square entries report more frequent and severe student safety and discipline incidents (fights, gangs, drugs/vaping, weapons, lockdowns, pervasive bullying) than circle entries\"": \""This captures the explicit safety and conduct phenomena (gangs, fights, drug/alcohol incidents, pervasive bullying, assaults, police interviews) described in many square reviews and is separate from facility descriptions, administrative dysfunction, curricular/program offerings, or variability in supports.\"",\n    \""square entries report more administrative and staff unprofessionalism, favoritism, secrecy, and poor responsiveness than circle entries\"": \""This groups complaints about leadership and staff behavior (nepotism, favoritism, cover‑ups, secretive record handling, retaliation, insensitive discipline, hiring/turnover problems and payroll/board issues) and is conceptually distinct from student safety incidents, physical facilities, program breadth, or inconsistent in‑class supports.\"",\n    \""Square entries document a broader, named set of advanced academic pathways and extracurricular programs (AP/IB/dual‑enrollment, vocational/CTE, extensive arts and athletics) and concrete high‑level outcomes more than circle entries\"": \""This bucket collects the programmatic breadth and measurable outcomes claims (AP/IB/dual credit, CTE, award‑winning band/ROTC/JROTC, college matriculation statistics) that describe curricular/extra‑curricular offerings rather than facilities, safety, governance, or within‑school support variability.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This groups the recurring pattern of starkly mixed experiences inside the same school (some students get one‑on‑one rescue help while others face counseling failures, IEP/504 breakdowns, inconsistent teacher competence and polarized outcomes), and is distinct from institutional program breadth, administrative misconduct, physical/operational issues, or safety incidents.\""\n}""]",,27.94683003425598,22097,1536,2045,,[],['resp_02ab1fadb4968db4006a7257f65fac819fad4763a9aae471a3'],True
vote|reduce3|23|0,"[""{\n    \""square entries document broader, named AP/IB/CTE/advanced-program offerings and measurable college‑prep outcomes more than circle entries\"": \""Many raw items list concrete, named pathways (AP counts, IB credit transfer, dual‑enrollment, academies, measurable college/scholarship outcomes) — this bucket captures program breadth and documented postsecondary outcomes, which is distinct from facility/operational problems, safety incidents, governance/favoritism issues, or frontline special‑needs/support failures.\"",\n    \""square entries report more frequent and severe student safety and discipline incidents (fights, gangs, drugs/vaping, weapons, lockdowns, pervasive bullying) than circle entries\"": \""Numerous entries describe physical safety, gang/drug/assault incidents and repeated bullying that materially affect campus security and student safety — a distinct theme about behavioral/crisis conditions separate from program offerings, facilities/logistics, administrative governance, or special‑education/counseling supports.\"",\n    \""square entries report more concrete operational, facility, capacity, and budget/policy problems (overcrowding, traffic/transportation, aging facilities, funding priorities, scheduling constraints) than circle entries\"": \""This groups detailed reports about physical plant, overcrowding, renovations, scheduling limits (four‑period day, Running Start conflicts), and resource allocation controversies — concrete infrastructure and logistics issues that are operationally different from safety incidents, program richness, governance/favoritism, or individualized-support failures.\"",\n    \""square entries report more administrative unresponsiveness, favoritism, inequity, mishandled complaints, and district/board dysfunction than circle entries\"": \""This bucket covers governance and personnel dysfunction (favoritism toward athletes, mishandled complaints, board/district mismanagement, retaliation, cover‑ups) — organizational and policy failings distinct from physical infrastructure, campus safety events, the presence/absence of advanced programs, or frontline special‑needs/counseling breakdowns.\"",\n    \""square entries report more gaps and failures in individualized student support (special education, guidance, mental‑health, and graduation support) than circle entries\"": \""Many entries document IEP/504 problems, poor guidance-counseling follow‑through, denied medical/accommodation requests, and mental‑health neglect — focused on individualized support/service failures that are operationally and functionally different from program abundance, campus safety crises, building/logistics issues, or governance/favoritism problems.\""\n}""]",,29.590975999832153,22485,1728,2240,,[],['resp_0f06af8b53a507ae006a7257f68f888192ad9ed4302cfe1981'],True
vote|reduce3|20|0,"[""{\n    \""square entries contain more concrete facility, operational and infrastructure descriptions (both deficiencies and capital investments) than circle entries\"": \""This captures the many square reports about buildings, renovations, sanitation, food service, overcrowding, technology, scheduling/logistics and visible capital investments — a distinct, physical/operational evidence cluster that does not overlap conceptually with safety incidents, academic program breadth, staff governance, or individualized support failures.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This groups all square accounts of violence, pervasive bullying, substance use, gang/weapon reports, racial/sexual‑identity harassment, and student mental‑health crises — a discrete safety/social‑climate dimension separate from facilities, academics, administration behavior, or special‑education/counseling breakdowns.\"",\n    \""square entries report more concrete advanced-academic programs and measurable postsecondary outcomes than circle entries\"": \""This groups square items describing named AP/IB/dual‑enrollment/CTE/magnet programs, test‑score claims, college admissions and scholarships — a programmatic/outcomes cluster distinct from facility logistics, student safety, staff misconduct, or failures in individual supports.\"",\n    \""square entries report more administrative and staff unprofessionalism, favoritism, secrecy, and poor responsiveness than circle entries\"": \""This groups square allegations about unresponsive administrators, favoritism/nepotism, cover‑ups, biased discipline, teacher misconduct and governance instability — a personnel/governance theme that is conceptually separate from physical facilities, student safety incidents, program offerings, or special‑needs/counseling issues.\"",\n    \""square entries report more gaps and failures in individualized student support (special education, guidance, mental‑health, and graduation support) than circle entries\"": \""This captures square evidence of IEP/504 noncompliance, counseling/guidance breakdowns, inadequate mental‑health and graduation/credit‑recovery supports — a service‑level failure cluster distinct from schoolwide facilities, safety/climate incidents, advanced academic program descriptions, or pure governance complaints.\""\n}""]",,29.660407066345215,22051,1856,2356,,[],['resp_0c63e5aa030bb0bf006a7257f6641081a0b373c3a894c530da'],True
vote|reduce3|24|0,"[""{\n    \""Square entries describe more extensive formal advanced academic programs and measurable college/scholarship outcomes than circle entries\"": \""Captures the many square reviews that enumerate AP/IB/dual‑credit/CTE/academy offerings and cite concrete college acceptances and scholarships — a distinct programmatic/outcome cluster that does not overlap with facility, safety, governance, or intra‑school support variability issues.\"",\n    \""square entries contain more concrete operational, facilities and resourcing specifics and failures (overcrowding, bus problems, cafeteria/food safety, class sizes, grade/ scheduling errors, device programs) than circle entries\"": \""Groups all granular, physical‑plant and logistical resource reports (maintenance, transportation, textbooks, food, scheduling/transcript errors and tech distribution) which are factual operational items separate from safety incidents, program breadth, administrative bias, or variable instructional support.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Collects the explicit behavioral and safety crises described in square reviews (fights, drugs, weapons, race‑based harassment, suicidality) — these are direct student‑safety/climate phenomena distinct from facility defects, academic program listings, governance complaints, or uneven support implementation.\"",\n    \""square entries report more administrative unresponsiveness, favoritism, inequity, mishandled complaints, and district/board dysfunction than circle entries\"": \""Indexes governance and personnel failure themes in square reviews (cover‑ups, favoritism/nepotism, opaque discipline, board/district coverups or litigation threats) that concern decision‑making and equity rather than facilities, student conduct, program offerings, or instructional variability.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Captures the pattern in square reviews of polarized experiences and inconsistent supports — from exemplary one‑on‑one mentorship to failed special‑education/counseling — a people/supports variability theme that is conceptually separate from program breadth, physical resources, safety incidents, or governance complaints.\""\n}""]",,32.70117926597595,21735,1920,2456,,[],['resp_05cae66421ce5b4a006a7257f667d081a39ad298a6b1abd396'],True
vote|reduce3|8|0,"[""{\n    \""square entries contain more detailed, concrete reports about facilities, operations, and on‑campus logistics (maintenance, cleanliness, overcrowding, transportation, cafeteria, security hardware) than circle entries\"": \""This bucket groups the many square-specific, first-order descriptions of physical plant and day-to-day logistics (overcrowding, pests, HVAC, lunch-service lines, parking/traffic, open-campus/entry points, cleanliness, renovation projects) and is distinct from governance, safety, academic, or support-service critiques because it focuses on tangible infrastructure and operational details rather than leadership, student behavior, programs, or staff performance.\"",\n    \""square entries report more frequent and more severe student-safety and behavioral problems plus punitive/exclusionary discipline than circle entries\"": \""This bucket captures the cluster of square reports about bullying, fights, drug use, lockdowns, weapons/assaults, racial/sexual harassment and related punitive or inconsistent disciplinary responses, and is mutually exclusive from facilities, administration, academic-program, and student-support buckets because it describes incidents and peer-safety dynamics rather than infrastructure, governance decisions, curricular offerings, or counseling/IEP execution.\"",\n    \""Square entries document more concrete advanced academic and career programs and measurable outcomes (AP/IB, dual‑enrollment, CTE, test scores, college acceptances) than circle entries\"": \""This bucket groups square entries that enumerate formal advanced pathways and measurable post‑secondary outcomes (IB/AP breadth, dual‑enrollment credits, CTE credentials, named college acceptances and scholarship stories) and is separate from instruction/support or admin/resource buckets because it catalogs program availability and outcome evidence rather than teacher variability, counseling failures, or governance problems.\"",\n    \""square entries document greater administrative/governance dysfunction, inconsistent enforcement, favoritism/nepotism, poor parent communication, and budget/staffing mismanagement than circle entries\"": \""This bucket collects square reports about leadership turnover, board/district secrecy, favoritism (athlete/staff-kids nepotism), cover-ups, opaque policy enforcement, and misallocated spending, and is kept distinct from facilities (physical issues), safety (student incidents), academics (program offerings/outcomes), and support-services failures because it centers on decision‑making, governance ethics, and personnel/financial governance.\"",\n    \""square entries report greater variability and failures in instruction and student support services than circle entries (teacher competence, counseling, special‑education compliance, and course access)\"": \""This bucket covers square items describing inconsistent teacher quality, scheduling/course-placement errors, counseling and college-advising breakdowns, IEP/504 noncompliance and uneven remediation, and is exclusive from the other buckets because it focuses on instructional delivery and individualized student supports rather than physical plant, violent incidents, program breadth/outcomes, or governance/favoritism issues.\""\n}""]",,34.25207781791687,21722,2176,2749,,[],['resp_0571c2d514809f3b006a7257f66410819db0b702e43b5c5400'],True
vote|reduce3|22|0,"[""{\n    \""Square entries report more pervasive student safety and behavior breakdowns (fights, drug/gang activity, unchecked bullying, theft, arrests) than circle entries\"": \""This groups the many raw items documenting fights, drugs, gangs, theft, frequent violent or unsafe incidents and lax on‑the‑ground supervision into a discrete safety/behavior category distinct from administrative, academic or facility complaints.\"",\n    \""square entries report more administrative dysfunction, favoritism, inconsistent discipline, poor communication, and district/board-level failures than circle entries\"": \""This captures reports of leadership unresponsiveness, favoritism/nepotism, cover‑ups, leadership turnover and board/policy failures that relate to governance and procedure rather than physical plant, classroom instruction, or extracurricular/academic offerings.\"",\n    \""Square entries detail more concrete advanced academic and career programs and measurable outcomes (AP/IB, dual‑enrollment, CTE, test scores, college acceptances) than circle entries\"": \""This groups all concrete, named advanced/college‑prep and career/CTE program descriptions and measurable postsecondary outcomes (scholarships, college placements, AP/IB/dual credit) into a single academic-program/outcome bucket separate from teacher variability, facilities, or safety issues.\"",\n    \""square entries report more concrete operational, facility, capacity, and budget/policy problems (overcrowding, traffic/transportation, aging facilities, funding priorities, scheduling constraints) than circle entries\"": \""This isolates concrete infrastructure, logistics and resource‑allocation problems (overcrowding, bussing, bathrooms, renovations, tech/ textbook shortages, schedule problems and budget tradeoffs) as operational/facilities concerns distinct from governance behavior, classroom instruction, student safety, or program offerings.\"",\n    \""square entries show greater variability in teacher/staff behavior and student support — from intensive one‑on‑one help to high turnover and instructional breakdowns — than circle entries\"": \""This groups the mixed, intra‑school reports about teacher quality, classroom management, tutoring/counseling and special‑education support (both strong individualized rescues and reported neglect/IEP failures) into a personnel‑and‑student‑support bucket that is conceptually separate from governance, safety, facilities, or advanced‑program descriptions.\""\n}""]",,34.251983880996704,22024,2176,2659,,[],['resp_0f3e3177bbccc8b1006a7257f66b5c81a2a70a31c3a91c1b60'],True
vote|reduce3|9|0,"[""{\n    \""square entries allege more administrative and governance dysfunction—nepotism, fiscal mismanagement, punitive or inconsistent policies, and unresponsive/cover‑up behavior—than circle entries\"": \""Groups many raw items about corrupt/opaque leadership, board/district malpractice, favoritism, cover‑ups and governance instability into one bucket focused on decision‑makers and policy-level misconduct; this is distinct from operational/facility problems (logistics), student safety incidents, program offerings, and classroom‑level supports because it centers on governance, fiscal/political abuse and top‑level accountability rather than resource details, safety events, academic programs, or extracurricular breadth.\"",\n    \""square entries report more frequent and severe student-safety and behavior problems (bullying, fights, drugs, weapons) than circle entries\"": \""Clusters all reports of violence, pervasive bullying, substance use, weapons, hazing and crisis responses into a single student‑safety/behavior bucket; this is mutually exclusive from the administrative/governance bucket (which is about who runs the system), the facilities/logistics bucket (which is about infrastructure and schedules), the advanced‑academics bucket (which is about curricular pathways and outcomes), and the extracurricular bucket (which is about program breadth and athletic prioritization).\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""Groups the many concrete mentions of AP/IB/honors, dual‑enrollment, CTE, measurable college matriculation and early‑college outcomes into a single academic‑pathways/outcomes bucket; it is distinct from extracurricular/athletics (which is about clubs, sports, and arts), from safety (incidents/discipline), from governance (board/favoritism), and from facilities/logistics (overcrowding/maintenance/transportation).\"",\n    \""square entries provide more concrete operational facility, resource, and logistical detail and report more overcrowding, maintenance, and communication failures than circle entries\"": \""Captures the large set of specific infrastructure, maintenance, overcrowding, HVAC/mold, scheduling, transport and communication failures into one operational/logistics bucket; this differs from governance (who mismanages), from student safety (incidents that occur), from programmatic offerings (AP/IB/extracurricular content), and from athletics/program‑prioritization (program breadth and favoritism).\"",\n    \""Square entries emphasize broader extracurricular, arts, vocational and athletic program breadth and often report athletics‑first resource/favoritism dynamics more than circle entries\"": \""Groups evidence of many named clubs/arts/music/CTE offerings, athletic achievements, booster support and explicit complaints that athletics receive privileged treatment into a single programs/extracurriculars bucket; this is separate from advanced‑academic pathways (AP/IB/dual credit focused on academics), from safety (behavioral incidents), from facilities/logistics (physical plant and scheduling), and from governance/favoritism framed as board/district corruption because it centers on program mix, achievements and perceived programmatic priorities rather than on policy or misconduct at the leadership level.\""\n}""]",,34.299052000045776,21592,1856,2540,,[],['resp_0a790773baeca589006a7257f64cf88192b5298045c888db0c'],True
